record_id,doi,year,pdf_path,pdf_is_version_of_record,page_count,scoped_first_page,scoped_last_page,predicted_figures_total,historical_figures_total,count_error,exact,figure_numbers,missing_figure_numbers,contiguous,census_error
doi:10.1021/sb300010a,10.1021/sb300010a,2012,data/papers/2012/10.1021__sb300010a/publisher/paper.pdf,True,6,1,6,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb3000113,10.1021/sb3000113,2012,data/papers/2012/10.1021__sb3000113/publisher/paper.pdf,True,7,1,7,8,8,0,True,1 2 3 4 5 6 7 8,,True,
doi:10.1021/sb300012g,10.1021/sb300012g,2012,data/papers/2012/10.1021__sb300012g/publisher/paper.pdf,True,12,1,12,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300014t,10.1021/sb300014t,2012,data/papers/2012/10.1021__sb300014t/publisher/paper.pdf,True,8,1,8,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300016b,10.1021/sb300016b,2012,data/papers/2012/10.1021__sb300016b/publisher/paper.pdf,True,11,1,11,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb3000172,10.1021/sb3000172,2012,data/papers/2012/10.1021__sb3000172/publisher/paper.pdf,True,10,1,10,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb300018h,10.1021/sb300018h,2012,data/papers/2012/10.1021__sb300018h/publisher/paper.pdf,True,18,1,18,9,9,0,True,1 2 3 4 5 6 7 8 9,,True,
doi:10.1021/sb3000194,10.1021/sb3000194,2012,data/papers/2012/10.1021__sb3000194/publisher/paper.pdf,True,7,1,7,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb300020f,10.1021/sb300020f,2012,data/papers/2012/10.1021__sb300020f/publisher/paper.pdf,True,11,1,11,11,11,0,True,1 2 3 4 5 6 7 8 9 10 11,,True,
doi:10.1021/sb300023h,10.1021/sb300023h,2012,data/papers/2012/10.1021__sb300023h/publisher/paper.pdf,True,5,1,5,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb3000244,10.1021/sb3000244,2012,data/papers/2012/10.1021__sb3000244/publisher/paper.pdf,True,10,1,10,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300025d,10.1021/sb300025d,2012,data/papers/2012/10.1021__sb300025d/publisher/paper.pdf,True,5,1,5,2,2,0,True,1 2,,True,
doi:10.1021/sb300027y,10.1021/sb300027y,2012,data/papers/2012/10.1021__sb300027y/publisher/paper.pdf,True,7,1,7,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300028q,10.1021/sb300028q,2012,data/papers/2012/10.1021__sb300028q/publisher/paper.pdf,True,11,1,11,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300030d,10.1021/sb300030d,2012,data/papers/2012/10.1021__sb300030d/publisher/paper.pdf,True,15,1,15,10,10,0,True,1 2 3 4 5 6 7 8 9 10,,True,
doi:10.1021/sb300031n,10.1021/sb300031n,2012,data/papers/2012/10.1021__sb300031n/publisher/paper.pdf,True,8,1,8,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300032y,10.1021/sb300032y,2012,data/papers/2012/10.1021__sb300032y/publisher/paper.pdf,True,13,1,13,8,8,0,True,1 2 3 4 5 6 7 8,,True,
doi:10.1021/sb300033q,10.1021/sb300033q,2012,data/papers/2012/10.1021__sb300033q/publisher/paper.pdf,True,12,1,12,13,13,0,True,1 2 3 4 5 6 7 8 9 10 11 12 13,,True,
doi:10.1021/sb300034m,10.1021/sb300034m,2012,data/papers/2012/10.1021__sb300034m/publisher/paper.pdf,True,10,1,10,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb300036z,10.1021/sb300036z,2012,data/papers/2012/10.1021__sb300036z/publisher/paper.pdf,True,3,1,3,1,1,0,True,1,,True,
doi:10.1021/sb300040v,10.1021/sb300040v,2012,data/papers/2012/10.1021__sb300040v/paper.pdf,True,6,1,6,3,3,0,True,1 2 3,,True,
doi:10.1021/sb300041z,10.1021/sb300041z,2012,data/papers/2012/10.1021__sb300041z/publisher/paper.pdf,True,7,1,7,3,3,0,True,1 2 3,,True,
doi:10.1021/sb3000436,10.1021/sb3000436,2012,data/papers/2012/10.1021__sb3000436/publisher/paper.pdf,True,12,1,12,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb300044r,10.1021/sb300044r,2012,data/papers/2012/10.1021__sb300044r/publisher/paper.pdf,True,14,1,14,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb300045j,10.1021/sb300045j,2012,data/papers/2012/10.1021__sb300045j/publisher/paper.pdf,True,8,1,8,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb300049p,10.1021/sb300049p,2012,data/papers/2012/10.1021__sb300049p/publisher/paper.pdf,True,6,1,6,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb300050j,10.1021/sb300050j,2012,data/papers/2012/10.1021__sb300050j/publisher/paper.pdf,True,7,1,7,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300052u,10.1021/sb300052u,2012,data/papers/2012/10.1021__sb300052u/publisher/paper.pdf,True,7,1,7,3,3,0,True,1 2 3,,True,
doi:10.1021/sb300053s,10.1021/sb300053s,2012,data/papers/2012/10.1021__sb300053s/publisher/paper.pdf,True,12,1,12,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300054p,10.1021/sb300054p,2012,data/papers/2012/10.1021__sb300054p/publisher/paper.pdf,True,7,1,7,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb3000589,10.1021/sb3000589,2012,data/papers/2012/10.1021__sb3000589/publisher/paper.pdf,True,6,1,6,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb3000595,10.1021/sb3000595,2012,data/papers/2012/10.1021__sb3000595/publisher/paper.pdf,True,7,1,7,3,3,0,True,1 2 3,,True,
doi:10.1021/sb300060e,10.1021/sb300060e,2012,data/papers/2012/10.1021__sb300060e/paper.pdf,True,7,1,7,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb3000639,10.1021/sb3000639,2012,data/papers/2012/10.1021__sb3000639/paper.pdf,True,6,1,6,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb300071a,10.1021/sb300071a,2012,data/papers/2012/10.1021__sb300071a/publisher/paper.pdf,True,9,1,9,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb300074k,10.1021/sb300074k,2012,data/papers/2012/10.1021__sb300074k/publisher/paper.pdf,True,16,1,16,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb3000782,10.1021/sb3000782,2012,data/papers/2012/10.1021__sb3000782/publisher/paper.pdf,True,14,1,14,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb3000832,10.1021/sb3000832,2012,data/papers/2012/10.1021__sb3000832/publisher/paper.pdf,True,10,1,10,8,8,0,True,1 2 3 4 5 6 7 8,,True,
doi:10.1021/sb3000904,10.1021/sb3000904,2012,data/papers/2012/10.1021__sb3000904/publisher/paper.pdf,True,8,1,8,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb300094q,10.1021/sb300094q,2012,data/papers/2012/10.1021__sb300094q/publisher/paper.pdf,True,12,1,12,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb300029m,10.1021/sb300029m,2013,data/papers/2013/10.1021__sb300029m/publisher/paper.pdf,True,8,1,8,3,3,0,True,1 2 3,,True,
doi:10.1021/sb300037w,10.1021/sb300037w,2013,data/papers/2013/10.1021__sb300037w/publisher/paper.pdf,True,10,1,10,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb300042w,10.1021/sb300042w,2013,data/papers/2013/10.1021__sb300042w/publisher/paper.pdf,True,9,1,9,8,8,0,True,1 2 3 4 5 6 7 8,,True,
doi:10.1021/sb3000468,10.1021/sb3000468,2013,data/papers/2013/10.1021__sb3000468/publisher/paper.pdf,True,7,1,7,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300047u,10.1021/sb300047u,2013,data/papers/2013/10.1021__sb300047u/publisher/paper.pdf,True,8,1,8,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb3000518,10.1021/sb3000518,2013,data/papers/2013/10.1021__sb3000518/publisher/paper.pdf,True,6,1,6,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300055e,10.1021/sb300055e,2013,data/papers/2013/10.1021__sb300055e/publisher/paper.pdf,True,10,1,10,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300061x,10.1021/sb300061x,2013,data/papers/2013/10.1021__sb300061x/publisher/paper.pdf,True,4,1,4,1,1,0,True,1,,True,
doi:10.1021/sb3000657,10.1021/sb3000657,2013,data/papers/2013/10.1021__sb3000657/publisher/paper.pdf,True,12,1,12,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300068g,10.1021/sb300068g,2013,data/papers/2013/10.1021__sb300068g/publisher/paper.pdf,True,9,1,9,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb300069k,10.1021/sb300069k,2013,data/papers/2013/10.1021__sb300069k/publisher/paper.pdf,True,13,1,13,9,9,0,True,1 2 3 4 5 6 7 8 9,,True,
doi:10.1021/sb300075t,10.1021/sb300075t,2013,data/papers/2013/10.1021__sb300075t/publisher/paper.pdf,True,7,1,7,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb300082b,10.1021/sb300082b,2013,data/papers/2013/10.1021__sb300082b/publisher/paper.pdf,True,7,1,7,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb300084h,10.1021/sb300084h,2013,data/papers/2013/10.1021__sb300084h/publisher/paper.pdf,True,7,1,7,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300086d,10.1021/sb300086d,2013,data/papers/2013/10.1021__sb300086d/publisher/paper.pdf,True,8,1,8,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300087n,10.1021/sb300087n,2013,data/papers/2013/10.1021__sb300087n/publisher/paper.pdf,True,10,1,10,20,20,0,True,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,,True,
doi:10.1021/sb300091d,10.1021/sb300091d,2013,data/papers/2013/10.1021__sb300091d/publisher/paper.pdf,True,12,1,12,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb300093y,10.1021/sb300093y,2013,data/papers/2013/10.1021__sb300093y/publisher/paper.pdf,True,8,1,8,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb300095m,10.1021/sb300095m,2013,data/papers/2013/10.1021__sb300095m/publisher/paper.pdf,True,11,1,11,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb300098w,10.1021/sb300098w,2013,data/papers/2013/10.1021__sb300098w/publisher/paper.pdf,True,11,1,11,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb3001003,10.1021/sb3001003,2013,data/papers/2013/10.1021__sb3001003/publisher/paper.pdf,True,13,1,13,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb300101g,10.1021/sb300101g,2013,data/papers/2013/10.1021__sb300101g/publisher/paper.pdf,True,15,1,15,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb300102k,10.1021/sb300102k,2013,data/papers/2013/10.1021__sb300102k/publisher/paper.pdf,True,15,1,15,8,8,0,True,1 2 3 4 5 6 7 8,,True,
doi:10.1021/sb300104f,10.1021/sb300104f,2013,data/papers/2013/10.1021__sb300104f/publisher/paper.pdf,True,7,1,7,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb3001062,10.1021/sb3001062,2013,data/papers/2013/10.1021__sb3001062/publisher/paper.pdf,True,5,1,5,3,3,0,True,1 2 3,,True,
doi:10.1021/sb300107h,10.1021/sb300107h,2013,data/papers/2013/10.1021__sb300107h/publisher/paper.pdf,True,7,1,7,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb3001084,10.1021/sb3001084,2013,data/papers/2013/10.1021__sb3001084/publisher/paper.pdf,True,8,1,8,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300110b,10.1021/sb300110b,2013,data/papers/2013/10.1021__sb300110b/publisher/paper.pdf,True,14,1,14,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb3001112,10.1021/sb3001112,2013,data/papers/2013/10.1021__sb3001112/publisher/paper.pdf,True,11,1,11,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb300114d,10.1021/sb300114d,2013,data/papers/2013/10.1021__sb300114d/publisher/paper.pdf,True,10,1,10,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb300115n,10.1021/sb300115n,2013,data/papers/2013/10.1021__sb300115n/publisher/paper.pdf,True,6,1,6,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb300116y,10.1021/sb300116y,2013,data/papers/2013/10.1021__sb300116y/publisher/paper.pdf,True,11,1,11,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb300119v,10.1021/sb300119v,2013,data/papers/2013/10.1021__sb300119v/publisher/paper.pdf,True,10,1,10,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb300120n,10.1021/sb300120n,2013,data/papers/2013/10.1021__sb300120n/publisher/paper.pdf,True,9,1,9,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb300122q,10.1021/sb300122q,2013,data/papers/2013/10.1021__sb300122q/publisher/paper.pdf,True,11,1,11,8,8,0,True,1 2 3 4 5 6 7 8,,True,
doi:10.1021/sb300123m,10.1021/sb300123m,2013,data/papers/2013/10.1021__sb300123m/publisher/paper.pdf,True,7,1,7,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb300125z,10.1021/sb300125z,2013,data/papers/2013/10.1021__sb300125z/publisher/paper.pdf,True,8,1,8,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb300128r,10.1021/sb300128r,2013,data/papers/2013/10.1021__sb300128r/publisher/paper.pdf,True,8,1,8,3,3,0,True,1 2 3,,True,
doi:10.1021/sb300129j,10.1021/sb300129j,2013,data/papers/2013/10.1021__sb300129j/publisher/paper.pdf,True,11,1,11,9,9,0,True,1 2 3 4 5 6 7 8 9,,True,
doi:10.1021/sb300131w,10.1021/sb300131w,2013,data/papers/2013/10.1021__sb300131w/publisher/paper.pdf,True,5,1,5,2,2,0,True,1 2,,True,
doi:10.1021/sb3001326,10.1021/sb3001326,2013,data/papers/2013/10.1021__sb3001326/publisher/paper.pdf,True,10,1,10,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb400002n,10.1021/sb400002n,2013,data/papers/2013/10.1021__sb400002n/publisher/paper.pdf,True,10,1,10,8,8,0,True,1 2 3 4 5 6 7 8,,True,
doi:10.1021/sb400003y,10.1021/sb400003y,2013,data/papers/2013/10.1021__sb400003y/publisher/paper.pdf,True,8,1,8,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb400007z,10.1021/sb400007z,2013,data/papers/2013/10.1021__sb400007z/publisher/paper.pdf,True,4,1,4,0,0,0,True,,,True,
doi:10.1021/sb4000096,10.1021/sb4000096,2013,data/papers/2013/10.1021__sb4000096/publisher/paper.pdf,True,10,1,10,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb400010m,10.1021/sb400010m,2013,data/papers/2013/10.1021__sb400010m/publisher/paper.pdf,True,7,1,7,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb400013w,10.1021/sb400013w,2013,data/papers/2013/10.1021__sb400013w/publisher/paper.pdf,True,11,1,11,8,8,0,True,1 2 3 4 5 6 7 8,,True,
doi:10.1021/sb4000146,10.1021/sb4000146,2013,data/papers/2013/10.1021__sb4000146/publisher/paper.pdf,True,7,1,7,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb400016j,10.1021/sb400016j,2013,data/papers/2013/10.1021__sb400016j/publisher/paper.pdf,True,8,1,8,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb400019s,10.1021/sb400019s,2013,data/papers/2013/10.1021__sb400019s/publisher/paper.pdf,True,7,1,7,3,3,0,True,1 2 3,,True,
doi:10.1021/sb400021j,10.1021/sb400021j,2013,data/papers/2013/10.1021__sb400021j/publisher/paper.pdf,True,5,1,5,2,2,0,True,1 2,,True,
doi:10.1021/sb4000228,10.1021/sb4000228,2013,data/papers/2013/10.1021__sb4000228/publisher/paper.pdf,True,6,1,6,2,2,0,True,1 2,,True,
doi:10.1021/sb400024s,10.1021/sb400024s,2013,data/papers/2013/10.1021__sb400024s/publisher/paper.pdf,True,3,1,3,1,1,0,True,1,,True,
doi:10.1021/sb400027x,10.1021/sb400027x,2013,data/papers/2013/10.1021__sb400027x/publisher/paper.pdf,True,3,1,3,1,1,0,True,1,,True,
doi:10.1021/sb400028c,10.1021/sb400028c,2013,data/papers/2013/10.1021__sb400028c/publisher/paper.pdf,True,9,1,9,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb400030p,10.1021/sb400030p,2013,data/papers/2013/10.1021__sb400030p/publisher/paper.pdf,True,10,1,10,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb4000355,10.1021/sb4000355,2013,data/papers/2013/10.1021__sb4000355/publisher/paper.pdf,True,8,1,8,8,8,0,True,1 2 3 4 5 6 7 8,,True,
doi:10.1021/sb4000367,10.1021/sb4000367,2013,data/papers/2013/10.1021__sb4000367/publisher/paper.pdf,True,8,1,8,3,3,0,True,1 2 3,,True,
doi:10.1021/sb400037a,10.1021/sb400037a,2013,data/papers/2013/10.1021__sb400037a/paper.pdf,True,6,1,6,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb400039g,10.1021/sb400039g,2013,data/papers/2013/10.1021__sb400039g/publisher/paper.pdf,True,3,1,3,0,0,0,True,,,True,
doi:10.1021/sb4000417,10.1021/sb4000417,2013,data/papers/2013/10.1021__sb4000417/publisher/paper.pdf,True,9,1,9,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb4000433,10.1021/sb4000433,2013,data/papers/2013/10.1021__sb4000433/publisher/paper.pdf,True,8,1,8,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb400044g,10.1021/sb400044g,2013,data/papers/2013/10.1021__sb400044g/paper.pdf,True,7,1,7,8,8,0,True,1 2 3 4 5 6 7 8,,True,
doi:10.1021/sb400045k,10.1021/sb400045k,2013,data/papers/2013/10.1021__sb400045k/publisher/paper.pdf,True,5,1,5,0,0,0,True,,,True,
doi:10.1021/sb400046t,10.1021/sb400046t,2013,data/papers/2013/10.1021__sb400046t/publisher/paper.pdf,True,3,1,3,0,0,0,True,,,True,
doi:10.1021/sb400048b,10.1021/sb400048b,2013,data/papers/2013/10.1021__sb400048b/publisher/paper.pdf,True,6,1,6,3,3,0,True,1 2 3,,True,
doi:10.1021/sb400050k,10.1021/sb400050k,2013,data/papers/2013/10.1021__sb400050k/publisher/paper.pdf,True,10,1,10,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb400051t,10.1021/sb400051t,2013,data/papers/2013/10.1021__sb400051t/publisher/paper.pdf,True,11,1,11,6,7,-1,False,1 2 3 4 5 6,,True,
doi:10.1021/sb4000542,10.1021/sb4000542,2013,data/papers/2013/10.1021__sb4000542/publisher/paper.pdf,True,13,1,13,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb400055h,10.1021/sb400055h,2013,data/papers/2013/10.1021__sb400055h/publisher/paper.pdf,True,10,1,10,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb4000564,10.1021/sb4000564,2013,data/papers/2013/10.1021__sb4000564/paper.pdf,True,21,1,21,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb400058n,10.1021/sb400058n,2013,data/papers/2013/10.1021__sb400058n/publisher/paper.pdf,True,8,1,8,3,3,0,True,1 2 3,,True,
doi:10.1021/sb400067v,10.1021/sb400067v,2013,data/papers/2013/10.1021__sb400067v/paper.pdf,True,6,1,6,2,2,0,True,1 2,,True,
doi:10.1021/sb400074w,10.1021/sb400074w,2013,data/papers/2013/10.1021__sb400074w/publisher/paper.pdf,True,8,1,8,3,3,0,True,1 2 3,,True,
doi:10.1021/sb400076r,10.1021/sb400076r,2013,data/papers/2013/10.1021__sb400076r/publisher/paper.pdf,True,10,1,10,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb400079u,10.1021/sb400079u,2013,data/papers/2013/10.1021__sb400079u/publisher/paper.pdf,True,7,1,7,3,3,0,True,1 2 3,,True,
doi:10.1021/sb4000806,10.1021/sb4000806,2013,data/papers/2013/10.1021__sb4000806/publisher/paper.pdf,True,9,1,9,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb400081r,10.1021/sb400081r,2013,data/papers/2013/10.1021__sb400081r/paper.pdf,True,10,1,10,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb400086p,10.1021/sb400086p,2013,data/papers/2013/10.1021__sb400086p/publisher/paper.pdf,True,11,1,11,3,4,-1,False,1 2 3,,True,
doi:10.1021/sb400117c,10.1021/sb400117c,2013,data/papers/2013/10.1021__sb400117c/publisher/paper.pdf,True,9,1,9,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb3000673,10.1021/sb3000673,2014,data/papers/2014/10.1021__sb3000673/publisher/paper.pdf,True,11,1,11,2,0,2,False,1 2,,True,
doi:10.1021/sb3000723,10.1021/sb3000723,2014,data/papers/2014/10.1021__sb3000723/publisher/paper.pdf,True,12,1,12,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb300079h,10.1021/sb300079h,2014,data/papers/2014/10.1021__sb300079h/publisher/paper.pdf,True,14,1,14,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb300080t,10.1021/sb300080t,2014,data/papers/2014/10.1021__sb300080t/publisher/paper.pdf,True,14,1,14,9,9,0,True,1 2 3 4 5 6 7 8 9,,True,
doi:10.1021/sb400052f,10.1021/sb400052f,2014,data/papers/2014/10.1021__sb400052f/publisher/paper.pdf,True,12,1,12,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb400053b,10.1021/sb400053b,2014,data/papers/2014/10.1021__sb400053b/paper.pdf,True,9,1,9,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb400059y,10.1021/sb400059y,2014,data/papers/2014/10.1021__sb400059y/publisher/paper.pdf,True,9,1,9,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb400064y,10.1021/sb400064y,2014,data/papers/2014/10.1021__sb400064y/publisher/paper.pdf,True,6,1,6,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb400065q,10.1021/sb400065q,2014,data/papers/2014/10.1021__sb400065q/publisher/paper.pdf,True,11,1,11,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb400066m,10.1021/sb400066m,2014,data/papers/2014/10.1021__sb400066m/publisher/paper.pdf,True,10,1,10,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb400068z,10.1021/sb400068z,2014,data/papers/2014/10.1021__sb400068z/publisher/paper.pdf,True,10,1,10,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb400069w,10.1021/sb400069w,2014,data/papers/2014/10.1021__sb400069w/publisher/paper.pdf,True,8,1,8,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb400070q,10.1021/sb400070q,2014,data/papers/2014/10.1021__sb400070q/publisher/paper.pdf,True,8,1,8,5,5,0,True,1 2 3 4 5,,True,
